2026-03-11 10:58:28 | INFO | 启动服务...
2026-03-11 10:58:29 | INFO | 已连接 Zilliz
2026-03-11 10:58:34 | INFO | 模型加载成功
2026-03-11 10:58:36 | INFO | 知识库就绪，当前知识数：2
2026-03-11 10:58:41 | INFO | 启动服务...
2026-03-11 10:58:42 | INFO | 已连接 Zilliz
2026-03-11 11:04:27 | INFO | 启动服务...
2026-03-11 11:04:29 | INFO | 已连接 Zilliz
2026-03-11 11:04:36 | INFO | 模型加载成功
2026-03-11 11:04:37 | INFO | 知识库就绪，当前知识数：2
2026-03-11 11:05:12 | WARNING | GET /api/export | 401 | 17.8ms | 111.32.114.164
2026-03-11 11:05:12 | INFO | GET / | 200 | 928.2ms | 111.32.114.164
2026-03-11 11:05:13 | INFO | GET /api/today | 200 | 9.2ms | 111.32.114.164
2026-03-11 11:05:13 | INFO | GET /api/stats | 200 | 214.4ms | 111.32.114.164
2026-03-11 11:05:13 | INFO | GET /api/list | 200 | 532.4ms | 111.32.114.164
2026-03-11 11:05:20 | INFO | GET /api/list | 200 | 424.1ms | 111.32.114.164
2026-03-11 11:05:50 | INFO | GET /api/stats | 200 | 205.9ms | 111.32.114.164
2026-03-11 11:05:52 | INFO | GET /api/export | 200 | 204.8ms | 111.32.114.164
2026-03-11 11:05:57 | INFO | GET / | 200 | 202.0ms | 111.32.114.164
2026-03-11 11:05:57 | INFO | GET /api/stats | 200 | 200.2ms | 111.32.114.164
2026-03-11 11:05:58 | INFO | GET /api/today | 200 | 405.8ms | 111.32.114.164
2026-03-11 11:05:58 | INFO | GET /api/list | 200 | 407.1ms | 111.32.114.164
2026-03-11 11:05:59 | INFO | GET /api/logs | 200 | 3.5ms | 111.32.114.164
2026-03-11 11:06:20 | INFO | GET /api/stats | 200 | 206.4ms | 111.32.114.164
2026-03-11 11:13:45 | INFO | GET /mcp/sse | 200 | 73.2ms | 111.32.114.164
2026-03-11 11:13:45 | INFO | POST /mcp/messages/ | 202 | 16.8ms | 111.32.114.164
2026-03-11 11:13:45 | INFO | POST /mcp/messages/ | 202 | 4.8ms | 111.32.114.164
2026-03-11 11:13:45 | INFO | POST /mcp/messages/ | 202 | 6.2ms | 111.32.114.164
2026-03-11 11:14:43 | INFO | POST /mcp/messages/ | 202 | 2.6ms | 111.32.114.164
2026-03-11 11:14:46 | INFO | POST /mcp/messages/ | 202 | 2.8ms | 111.32.114.164
2026-03-11 11:14:58 | INFO | POST /mcp/messages/ | 202 | 2.1ms | 111.32.114.164
2026-03-11 11:15:14 | INFO | POST /mcp/messages/ | 202 | 2.2ms | 111.32.114.164
2026-03-11 11:15:20 | INFO | GET /mcp/sse | 200 | 8.4ms | 111.32.114.164
2026-03-11 11:15:20 | INFO | POST /mcp/messages/ | 202 | 2.1ms | 111.32.114.164
2026-03-11 11:15:20 | INFO | POST /mcp/messages/ | 202 | 3.0ms | 111.32.114.164
2026-03-11 11:15:20 | INFO | POST /mcp/messages/ | 202 | 2.9ms | 111.32.114.164
2026-03-11 11:24:33 | INFO | GET /../../../../../../etc/passwd | 307 | 1.8ms | 89.42.231.182
2026-03-11 12:38:40 | INFO | GET / | 307 | 2.0ms | 43.135.172.89
2026-03-11 12:38:41 | INFO | GET /login | 200 | 10.8ms | 43.135.172.89
2026-03-11 12:59:17 | INFO | GET / | 307 | 2.3ms | 111.32.114.164
2026-03-11 12:59:17 | INFO | GET /login | 200 | 2.6ms | 111.32.114.164
2026-03-11 13:45:07 | INFO | GET / | 307 | 2.0ms | 206.168.34.47
2026-03-11 13:45:17 | INFO | GET / | 307 | 0.7ms | 206.168.34.47
2026-03-11 13:45:18 | INFO | PRI  | 307 | 1.2ms | 206.168.34.47
2026-03-11 13:45:19 | INFO | GET /login | 200 | 3.5ms | 206.168.34.47
2026-03-11 13:45:25 | INFO | GET /login | 200 | 1.4ms | 206.168.34.47
2026-03-11 13:45:28 | INFO | GET /giu5k8nqw4m | 307 | 0.6ms | 206.168.34.47
2026-03-11 13:55:14 | INFO | GET /mcp/sse | 200 | 24.8ms | 116.130.193.249
2026-03-11 13:55:15 | INFO | POST /mcp/messages/ | 202 | 4.5ms | 116.130.193.249
2026-03-11 13:55:15 | INFO | POST /mcp/messages/ | 202 | 7.8ms | 116.130.193.249
2026-03-11 13:55:15 | INFO | POST /mcp/messages/ | 202 | 7.8ms | 116.130.193.249
2026-03-11 13:55:28 | INFO | POST /mcp/messages/ | 202 | 3.0ms | 116.130.193.249
2026-03-11 13:55:40 | INFO | GET /mcp/sse | 200 | 9.6ms | 116.130.193.249
2026-03-11 13:55:40 | INFO | POST /mcp/messages/ | 202 | 3.3ms | 116.130.193.249
2026-03-11 13:55:40 | INFO | POST /mcp/messages/ | 202 | 6.2ms | 116.130.193.249
2026-03-11 13:55:40 | INFO | POST /mcp/messages/ | 202 | 8.1ms | 116.130.193.249
2026-03-11 14:35:02 | INFO | GET /mcp/sse | 200 | 22.1ms | 116.130.193.249
2026-03-11 14:35:03 | INFO | POST /mcp/messages/ | 202 | 3.8ms | 116.130.193.249
2026-03-11 14:35:03 | INFO | POST /mcp/messages/ | 202 | 4.4ms | 116.130.193.249
2026-03-11 14:35:03 | INFO | POST /mcp/messages/ | 202 | 10.6ms | 116.130.193.249
2026-03-11 14:35:15 | INFO | POST /mcp/messages/ | 202 | 3.7ms | 116.130.193.249
2026-03-11 14:35:27 | INFO | POST /mcp/messages/ | 202 | 2.6ms | 116.130.193.249
2026-03-11 14:35:39 | INFO | POST /mcp/messages/ | 202 | 2.2ms | 116.130.193.249
2026-03-11 14:35:51 | INFO | POST /mcp/messages/ | 202 | 2.4ms | 116.130.193.249
2026-03-11 14:36:03 | INFO | POST /mcp/messages/ | 202 | 2.2ms | 116.130.193.249
